intersection_key,Latitude,Longitude,rank_SW,rank_SA,rank_delta_SA_minus_SW
LUBBOCK|ABERNATHY|33.8197|-101.8412|FM0597|SL0369,33.8197,-101.8412,1312.0,877.0,-435.0
LUBBOCK|ABERNATHY|33.8262|-101.8379||CR2400,33.8262,-101.8379,4152.0,3090.0,-1062.0
LUBBOCK|ABERNATHY|33.8264|-101.8431|3RD STREET|AVENUE D,33.8264,-101.8431,4152.0,2769.0,-1383.0
LUBBOCK|ABERNATHY|33.8271|-101.8410|IH0027|NOT REPORTED,33.8271,-101.841,4152.0,5680.0,1528.0
LUBBOCK|BUFFALO SPRINGS (LUBBOCK)|33.5241|-101.7275||FM0835,33.5241,-101.7275,4152.0,3510.0,-642.0
LUBBOCK|BUFFALO SPRINGS (LUBBOCK)|33.5313|-101.7087||PONY EXPRESS TRL,33.5313,-101.7087,4152.0,2930.0,-1222.0
LUBBOCK|BUFFALO SPRINGS (LUBBOCK)|33.5332|-101.7143||PONY EXPRESS TRL,33.5332,-101.7143,4152.0,4273.0,121.0
LUBBOCK|BUFFALO SPRINGS (LUBBOCK)|33.5332|-101.7222||COMANCHE DRIVE,33.5332,-101.7222,1312.0,3139.0,1827.0
LUBBOCK|BUFFALO SPRINGS (LUBBOCK)|33.5338|-101.7176||COMANCHE DRIVE,33.5338,-101.7176,1312.0,4367.0,3055.0
LUBBOCK|BUFFALO SPRINGS (LUBBOCK)|33.5351|-101.7260||FM0835,33.5351,-101.726,390.5,1094.0,703.5
LUBBOCK|IDALOU|33.6616|-101.6762||E 6TH STREET,33.6616,-101.6762,4152.0,3168.0,-984.0
LUBBOCK|IDALOU|33.6646|-101.6829|WALNUT STREET|WALNUT STREET,33.6646,-101.6829,1312.0,4319.0,3007.0
LUBBOCK|IDALOU|33.6649|-101.6887|FM0400|US0062,33.6649,-101.6887,1312.0,5091.0,3779.0
LUBBOCK|IDALOU|33.6651|-101.6884|FM0400|US0062,33.6651,-101.6884,4152.0,1859.0,-2293.0
LUBBOCK|IDALOU|33.6667|-101.6830|FM0400|US0062,33.6667,-101.683,4152.0,3841.0,-311.0
LUBBOCK|LUBBOCK|33.4730|-101.8951||134TH STREET,33.473,-101.8951,4152.0,5236.0,1084.0
LUBBOCK|LUBBOCK|33.4753|-101.9223||FM1730,33.4753,-101.9223,4152.0,1282.0,-2870.0
LUBBOCK|LUBBOCK|33.4754|-101.9049||QUAKER AVENUE,33.4754,-101.9049,4152.0,4560.0,408.0
LUBBOCK|LUBBOCK|33.4757|-101.8876||INDIANA AVENUE,33.4757,-101.8876,4152.0,3941.0,-211.0
LUBBOCK|LUBBOCK|33.4760|-101.9395|FM1585|FM1730,33.476,-101.9395,4152.0,3391.0,-761.0
LUBBOCK|LUBBOCK|33.4760|-101.9396|FM1585|FRANKFORD AVENUE,33.476,-101.9396,4152.0,4169.0,17.0
LUBBOCK|LUBBOCK|33.4760|-101.9482||130TH STREET,33.476,-101.9482,4152.0,2096.0,-2056.0
LUBBOCK|LUBBOCK|33.4760|-101.9570|130TH STREET|MILWAUKEE AVENUE,33.476,-101.957,4152.0,4057.0,-95.0
LUBBOCK|LUBBOCK|33.4760|-101.9580||130TH STREET,33.476,-101.958,4152.0,4105.0,-47.0
LUBBOCK|LUBBOCK|33.4760|-101.9724||FM1585,33.476,-101.9724,4152.0,4886.0,734.0
LUBBOCK|LUBBOCK|33.4760|-101.9744|FM0179|FM1585,33.476,-101.9744,135.5,440.0,304.5
LUBBOCK|LUBBOCK|33.4760|-101.9744|FM1585|UPLAND AVENUE,33.476,-101.9744,75.0,94.0,19.0
LUBBOCK|LUBBOCK|33.4762|-101.8833||FM1585,33.4762,-101.8833,4152.0,4165.0,13.0
LUBBOCK|LUBBOCK|33.4762|-101.8876|130TH STREET|INDIANA AVENUE,33.4762,-101.8876,4152.0,2675.0,-1477.0
LUBBOCK|LUBBOCK|33.4762|-101.8876|FM1585|INDIANA AVENUE,33.4762,-101.8876,669.0,126.0,-543.0
LUBBOCK|LUBBOCK|33.4762|-101.8918|FM1585|KNOXVILLE AVENUE,33.4762,-101.8918,2031.5,407.0,-1624.5
LUBBOCK|LUBBOCK|33.4762|-101.8961|130TH STREET|MEMPHIS AVENUE,33.4762,-101.8961,4152.0,2067.0,-2085.0
LUBBOCK|LUBBOCK|33.4762|-101.8964|FM1585|MEMPHIS AVENUE,33.4762,-101.8964,4152.0,2920.0,-1232.0
LUBBOCK|LUBBOCK|33.4762|-101.9052|130TH STREET|QUAKER AVENUE,33.4762,-101.9052,2031.5,402.0,-1629.5
LUBBOCK|LUBBOCK|33.4762|-101.9052|FM1585|QUAKER AVENUE,33.4762,-101.9052,2031.5,480.0,-1551.5
LUBBOCK|LUBBOCK|33.4762|-101.9180||FM1585,33.4762,-101.918,4152.0,2254.0,-1898.0
LUBBOCK|LUBBOCK|33.4762|-101.9223|FM1585|FM1730,33.4762,-101.9223,99.0,184.0,85.0
LUBBOCK|LUBBOCK|33.4762|-101.9226|FM1585|FM1730,33.4762,-101.9226,4152.0,2150.0,-2002.0
LUBBOCK|LUBBOCK|33.4768|-101.8876||INDIANA AVENUE,33.4768,-101.8876,4152.0,5212.0,1060.0
