,County,City,Lat,Long,RdNm1,RdNm2,rank_SW,rank_SA,rank_delta_SA_minus_SW,Latitude,Longitude,intersection_key
0,LUBBOCK,ABERNATHY,33.8197,-101.8412,FM0597,SL0369,1312.0,877.0,-435.0,33.8197,-101.8412,LUBBOCK|ABERNATHY|33.8197|-101.8412|FM0597|SL0369
1,LUBBOCK,ABERNATHY,33.8262,-101.8379,,CR2400,4152.0,3090.0,-1062.0,33.8262,-101.8379,LUBBOCK|ABERNATHY|33.8262|-101.8379||CR2400
2,LUBBOCK,ABERNATHY,33.8264,-101.8431,3RD STREET,AVENUE D,4152.0,2769.0,-1383.0,33.8264,-101.8431,LUBBOCK|ABERNATHY|33.8264|-101.8431|3RD STREET|AVENUE D
3,LUBBOCK,ABERNATHY,33.8271,-101.8410,IH0027,NOT REPORTED,4152.0,5680.0,1528.0,33.8271,-101.841,LUBBOCK|ABERNATHY|33.8271|-101.8410|IH0027|NOT REPORTED
4,LUBBOCK,BUFFALO SPRINGS (LUBBOCK),33.5241,-101.7275,,FM0835,4152.0,3510.0,-642.0,33.5241,-101.7275,LUBBOCK|BUFFALO SPRINGS (LUBBOCK)|33.5241|-101.7275||FM0835
5,LUBBOCK,BUFFALO SPRINGS (LUBBOCK),33.5313,-101.7087,,PONY EXPRESS TRL,4152.0,2930.0,-1222.0,33.5313,-101.7087,LUBBOCK|BUFFALO SPRINGS (LUBBOCK)|33.5313|-101.7087||PONY EXPRESS TRL
6,LUBBOCK,BUFFALO SPRINGS (LUBBOCK),33.5332,-101.7143,,PONY EXPRESS TRL,4152.0,4273.0,121.0,33.5332,-101.7143,LUBBOCK|BUFFALO SPRINGS (LUBBOCK)|33.5332|-101.7143||PONY EXPRESS TRL
7,LUBBOCK,BUFFALO SPRINGS (LUBBOCK),33.5332,-101.7222,,COMANCHE DRIVE,1312.0,3139.0,1827.0,33.5332,-101.7222,LUBBOCK|BUFFALO SPRINGS (LUBBOCK)|33.5332|-101.7222||COMANCHE DRIVE
8,LUBBOCK,BUFFALO SPRINGS (LUBBOCK),33.5338,-101.7176,,COMANCHE DRIVE,1312.0,4367.0,3055.0,33.5338,-101.7176,LUBBOCK|BUFFALO SPRINGS (LUBBOCK)|33.5338|-101.7176||COMANCHE DRIVE
9,LUBBOCK,BUFFALO SPRINGS (LUBBOCK),33.5351,-101.7260,,FM0835,390.5,1094.0,703.5,33.5351,-101.726,LUBBOCK|BUFFALO SPRINGS (LUBBOCK)|33.5351|-101.7260||FM0835
10,LUBBOCK,IDALOU,33.6616,-101.6762,,E 6TH STREET,4152.0,3168.0,-984.0,33.6616,-101.6762,LUBBOCK|IDALOU|33.6616|-101.6762||E 6TH STREET
11,LUBBOCK,IDALOU,33.6646,-101.6829,WALNUT STREET,WALNUT STREET,1312.0,4319.0,3007.0,33.6646,-101.6829,LUBBOCK|IDALOU|33.6646|-101.6829|WALNUT STREET|WALNUT STREET
12,LUBBOCK,IDALOU,33.6649,-101.6887,FM0400,US0062,1312.0,5091.0,3779.0,33.6649,-101.6887,LUBBOCK|IDALOU|33.6649|-101.6887|FM0400|US0062
13,LUBBOCK,IDALOU,33.6651,-101.6884,FM0400,US0062,4152.0,1859.0,-2293.0,33.6651,-101.6884,LUBBOCK|IDALOU|33.6651|-101.6884|FM0400|US0062
14,LUBBOCK,IDALOU,33.6667,-101.6830,FM0400,US0062,4152.0,3841.0,-311.0,33.6667,-101.683,LUBBOCK|IDALOU|33.6667|-101.6830|FM0400|US0062
15,LUBBOCK,LUBBOCK,33.4730,-101.8951,,134TH STREET,4152.0,5236.0,1084.0,33.473,-101.8951,LUBBOCK|LUBBOCK|33.4730|-101.8951||134TH STREET
16,LUBBOCK,LUBBOCK,33.4753,-101.9223,,FM1730,4152.0,1282.0,-2870.0,33.4753,-101.9223,LUBBOCK|LUBBOCK|33.4753|-101.9223||FM1730
17,LUBBOCK,LUBBOCK,33.4754,-101.9049,,QUAKER AVENUE,4152.0,4560.0,408.0,33.4754,-101.9049,LUBBOCK|LUBBOCK|33.4754|-101.9049||QUAKER AVENUE
18,LUBBOCK,LUBBOCK,33.4757,-101.8876,,INDIANA AVENUE,4152.0,3941.0,-211.0,33.4757,-101.8876,LUBBOCK|LUBBOCK|33.4757|-101.8876||INDIANA AVENUE
19,LUBBOCK,LUBBOCK,33.4760,-101.9395,FM1585,FM1730,4152.0,3391.0,-761.0,33.476,-101.9395,LUBBOCK|LUBBOCK|33.4760|-101.9395|FM1585|FM1730
20,LUBBOCK,LUBBOCK,33.4760,-101.9396,FM1585,FRANKFORD AVENUE,4152.0,4169.0,17.0,33.476,-101.9396,LUBBOCK|LUBBOCK|33.4760|-101.9396|FM1585|FRANKFORD AVENUE
21,LUBBOCK,LUBBOCK,33.4760,-101.9482,,130TH STREET,4152.0,2096.0,-2056.0,33.476,-101.9482,LUBBOCK|LUBBOCK|33.4760|-101.9482||130TH STREET
22,LUBBOCK,LUBBOCK,33.4760,-101.9570,130TH STREET,MILWAUKEE AVENUE,4152.0,4057.0,-95.0,33.476,-101.957,LUBBOCK|LUBBOCK|33.4760|-101.9570|130TH STREET|MILWAUKEE AVENUE
23,LUBBOCK,LUBBOCK,33.4760,-101.9580,,130TH STREET,4152.0,4105.0,-47.0,33.476,-101.958,LUBBOCK|LUBBOCK|33.4760|-101.9580||130TH STREET
24,LUBBOCK,LUBBOCK,33.4760,-101.9724,,FM1585,4152.0,4886.0,734.0,33.476,-101.9724,LUBBOCK|LUBBOCK|33.4760|-101.9724||FM1585
25,LUBBOCK,LUBBOCK,33.4760,-101.9744,FM0179,FM1585,135.5,440.0,304.5,33.476,-101.9744,LUBBOCK|LUBBOCK|33.4760|-101.9744|FM0179|FM1585
26,LUBBOCK,LUBBOCK,33.4760,-101.9744,FM1585,UPLAND AVENUE,75.0,94.0,19.0,33.476,-101.9744,LUBBOCK|LUBBOCK|33.4760|-101.9744|FM1585|UPLAND AVENUE
27,LUBBOCK,LUBBOCK,33.4762,-101.8833,,FM1585,4152.0,4165.0,13.0,33.4762,-101.8833,LUBBOCK|LUBBOCK|33.4762|-101.8833||FM1585
28,LUBBOCK,LUBBOCK,33.4762,-101.8876,130TH STREET,INDIANA AVENUE,4152.0,2675.0,-1477.0,33.4762,-101.8876,LUBBOCK|LUBBOCK|33.4762|-101.8876|130TH STREET|INDIANA AVENUE
29,LUBBOCK,LUBBOCK,33.4762,-101.8876,FM1585,INDIANA AVENUE,669.0,126.0,-543.0,33.4762,-101.8876,LUBBOCK|LUBBOCK|33.4762|-101.8876|FM1585|INDIANA AVENUE
30,LUBBOCK,LUBBOCK,33.4762,-101.8918,FM1585,KNOXVILLE AVENUE,2031.5,407.0,-1624.5,33.4762,-101.8918,LUBBOCK|LUBBOCK|33.4762|-101.8918|FM1585|KNOXVILLE AVENUE
31,LUBBOCK,LUBBOCK,33.4762,-101.8961,130TH STREET,MEMPHIS AVENUE,4152.0,2067.0,-2085.0,33.4762,-101.8961,LUBBOCK|LUBBOCK|33.4762|-101.8961|130TH STREET|MEMPHIS AVENUE
